	Gene	Description
ITA5	ITGA5	Integrin alpha-5
INHBB	INHBB	Inhibin beta B chain
H2BFM	H2BW2	Histone H2B type F-M
CTF8	CHTF8	Chromosome transmission fidelity protein 8 homolog
CT459	CT45A9	Cancer/testis antigen family 45 member A9
SPD11	SPDYE11	Putative speedy protein E11
CX6A1	COX6A1	Cytochrome c oxidase subunit 6A1, mitochondrial
DRD2	DRD2	D(2) dopamine receptor
ZNF16	ZNF16	Zinc finger protein 16
3BHS2	HSD3B2	3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 2
CP2CI	CYP2C18	Cytochrome P450 2C18
GLRX1	GLRX	Glutaredoxin-1
HEM6	CPOX	Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial
GNL1	GNL1	Guanine nucleotide-binding protein-like 1
CEBPA	CEBPA	CCAAT/enhancer-binding protein alpha
AT1A2	ATP1A2	Sodium/potassium-transporting ATPase subunit alpha-2
NH2L1	SNU13	NHP2-like protein 1
SI11A	SMIM11A	Small integral membrane protein 11A
PROF3	PFN3	Profilin-3
CYC	CYCS	Cytochrome c
PFKAP	PFKP	ATP-dependent 6-phosphofructokinase, platelet type
PO5F1	POU5F1	POU domain, class 5, transcription factor 1
B2CL1	BCL2L1	Bcl-2-like protein 1
FADD	FADD	FAS-associated death domain protein
SMAD4	SMAD4	Mothers against decapentaplegic homolog 4
MED21	MED21	Mediator of RNA polymerase II transcription subunit 21
RAPSN	RAPSN	43 kDa receptor-associated protein of the synapse
URB2	URB2	Unhealthy ribosome biogenesis protein 2 homolog
EEA1	EEA1	Early endosome antigen 1
SMAD2	SMAD2	Mothers against decapentaplegic homolog 2
GAG2E	GAGE2E	G antigen 2E
TNI3K	TNNI3K	Serine/threonine-protein kinase TNNI3K
RS26L	RPS26P11	Putative 40S ribosomal protein S26-like 1
TEX30	TEX30	Testis-expressed protein 30
KDM7A	KDM7A	Lysine-specific demethylase 7A
PEAK3	PEAK3	Protein PEAK3
CHSS3	CHSY3	Chondroitin sulfate synthase 3
PEG10	PEG10	Retrotransposon-derived protein PEG10
VASH2	VASH2	Tubulinyl-Tyr carboxypeptidase 2
TIAM2	TIAM2	Rho guanine nucleotide exchange factor TIAM2
SPG16	SPAG16	Sperm-associated antigen 16 protein
SPA6L	SPATA6L	Spermatogenesis associated 6-like protein
PLPP7	PLPP7	Inactive phospholipid phosphatase 7
SIMC1	SIMC1	SUMO-interacting motif-containing protein 1
O2T12	OR2T12	Olfactory receptor 2T12
OR8A1	OR8A1	Olfactory receptor 8A1
OR2G2	OR2G2	Olfactory receptor 2G2
DPTOR	DEPTOR	DEP domain-containing mTOR-interacting protein
NET5	NTN5	Netrin-5
TPC14	TRAPPC14	Trafficking protein particle complex subunit 14
RN133	RNF133	E3 ubiquitin-protein ligase RNF133
PATE1	PATE1	Prostate and testis expressed protein 1
CCL17	CCL17	C-C motif chemokine 17
EF2KT	EEF2KMT	Protein-lysine N-methyltransferase EEF2KMT
PGCB	BCAN	Brevican core protein
LOXL4	LOXL4	Lysyl oxidase homolog 4
ZN488	ZNF488	Zinc finger protein 488
ODAD4	ODAD4	Outer dynein arm-docking complex subunit 4
HAUS7	HAUS7	HAUS augmin-like complex subunit 7
MFRP	MFRP	Membrane frizzled-related protein
AMRA1	AMBRA1	Activating molecule in BECN1-regulated autophagy protein 1
B3GN4	B3GNT4	N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 4
ARP6	ACTR6	Actin-related protein 6
ZN335	ZNF335	Zinc finger protein 335
RABE2	RABEP2	Rab GTPase-binding effector protein 2
NAA60	NAA60	N-alpha-acetyltransferase 60
RPA2	POLR1B	DNA-directed RNA polymerase I subunit RPA2
CENPJ	CENPJ	Centromere protein J
MXRA5	MXRA5	Matrix-remodeling-associated protein 5
KIF15	KIF15	Kinesin-like protein KIF15
FX4L1	FOXD4L1	Forkhead box protein D4-like 1
AP5S1	AP5S1	AP-5 complex subunit sigma-1
PLAT2	PLAAT2	Phospholipase A and acyltransferase 2
DKK4	DKK4	Dickkopf-related protein 4
MAGL2	MAGEL2	MAGE-like protein 2
ZMIZ1	ZMIZ1	Zinc finger MIZ domain-containing protein 1
DAPP1	DAPP1	Dual adapter for phosphotyrosine and 3-phosphotyrosine and 3-phosphoinositide
MA2B2	MAN2B2	Epididymis-specific alpha-mannosidase
TNR18	TNFRSF18	Tumor necrosis factor receptor superfamily member 18
RM42	MRPL42	39S ribosomal protein L42, mitochondrial
HMN11	MTRNR2L11	Humanin-like 11
TVA30	TRAV30	T cell receptor alpha variable 30
CTGE9	CTAGE9	cTAGE family member 9
F90AK	FAM90A20P	Putative protein FAM90A20P
PM34	SLC25A17	Peroxisomal membrane protein PMP34
AP2A2	AP2A2	AP-2 complex subunit alpha-2
NXPH4	NXPH4	Neurexophilin-4
KLHL2	KLHL2	Kelch-like protein 2
ZBT7A	ZBTB7A	Zinc finger and BTB domain-containing protein 7A
TSN12	TSPAN12	Tetraspanin-12
STAT	STATH	Statherin
PRM2	PRM2	Protamine-2
GSTP1	GSTP1	Glutathione S-transferase P
F86B2	FAM86B2	Putative protein N-methyltransferase FAM86B2
IL8	CXCL8	Interleukin-8
ZNF25	ZNF25	Zinc finger protein 25
ATF4	ATF4	Cyclic AMP-dependent transcription factor ATF-4
GNAZ	GNAZ	Guanine nucleotide-binding protein G(z) subunit alpha
GNAT2	GNAT2	Guanine nucleotide-binding protein G(t) subunit alpha-2
FBRL	FBL	rRNA 2'-O-methyltransferase fibrillarin
GASR	CCKBR	Gastrin/cholecystokinin type B receptor
CNR2	CNR2	Cannabinoid receptor 2
HXK4	GCK	Hexokinase-4
FLT3	FLT3	Receptor-type tyrosine-protein kinase FLT3
LRBA	LRBA	Lipopolysaccharide-responsive and beige-like anchor protein
SOX8	SOX8	Transcription factor SOX-8
RS29	RPS29	40S ribosomal protein S29
RSMN	SNRPN	Small nuclear ribonucleoprotein-associated protein N
SLC31	SLC3A1	Neutral and basic amino acid transport protein rBAT
RHG01	ARHGAP1	Rho GTPase-activating protein 1
GOGA2	GOLGA2	Golgin subfamily A member 2
NMDE1	GRIN2A	Glutamate receptor ionotropic, NMDA 2A
CSTF3	CSTF3	Cleavage stimulation factor subunit 3
TIAM1	TIAM1	Rho guanine nucleotide exchange factor TIAM1
NDF1	NEUROD1	Neurogenic differentiation factor 1
CO4A6	COL4A6	Collagen alpha-6(IV) chain
VGLL4	VGLL4	Transcription cofactor vestigial-like protein 4
IKKE	IKBKE	Inhibitor of nuclear factor kappa-B kinase subunit epsilon
SSPN	SSPN	Sarcospan
RBY1F	RBMY1J	RNA-binding motif protein, Y chromosome, family 1 member F/J
SC23B	SEC23B	Protein transport protein Sec23B
ELF2	ELF2	ETS-related transcription factor Elf-2
ACHA6	CHRNA6	Neuronal acetylcholine receptor subunit alpha-6
MA2A1	MAN2A1	Alpha-mannosidase 2
ENPLL	HSP90B2P	Putative endoplasmin-like protein
TPC3L	TRAPPC3L	Trafficking protein particle complex subunit 3-like protein
LRIF1	LRIF1	Ligand-dependent nuclear receptor-interacting factor 1
TSTD2	TSTD2	Thiosulfate sulfurtransferase/rhodanese-like domain-containing protein 2
SMBT2	SFMBT2	Scm-like with four MBT domains protein 2
GAG2A	GAGE2A	G antigen 2A
ANR12	ANKRD12	Ankyrin repeat domain-containing protein 12
MMS22	MMS22L	Protein MMS22-like
LANC3	LANCL3	LanC-like protein 3
PDZD4	PDZD4	PDZ domain-containing protein 4
BMP8A	BMP8A	Bone morphogenetic protein 8A
DHDDS	DHDDS	Dehydrodolichyl diphosphate synthase complex subunit DHDDS
H2A2B	H2AC21	Histone H2A type 2-B
HOT	ADHFE1	Hydroxyacid-oxoacid transhydrogenase, mitochondrial
OR4N4	OR4N4	Olfactory receptor 4N4
PORIM	TMEM123	Porimin
WDTC1	WDTC1	WD and tetratricopeptide repeats protein 1
COMD1	COMMD1	COMM domain-containing protein 1
S43A3	SLC43A3	Solute carrier family 43 member 3
NECP1	NECAP1	Adaptin ear-binding coat-associated protein 1
ZN485	ZNF485	Zinc finger protein 485
MROH1	MROH1	Maestro heat-like repeat-containing protein family member 1
CFA43	CFAP43	Cilia- and flagella-associated protein 43
FLCN	FLCN	Folliculin
PPTC7	PPTC7	Protein phosphatase PTC7 homolog
S7A6O	SLC7A6OS	Probable RNA polymerase II nuclear localization protein SLC7A6
INKA1	INKA1	PAK4-inhibitor INKA1
LRAT2	LRATD2	Protein LRATD2
MBOA7	MBOAT7	Lysophospholipid acyltransferase 7
NDF6	NEUROD6	Neurogenic differentiation factor 6
SPB11	SERPINB11	Serpin B11
SEN34	TSEN34	tRNA-splicing endonuclease subunit Sen34
TM121	TMEM121	Transmembrane protein 121
CA043	C1orf43	Protein C1orf43
PRR14	PRR14	Proline-rich protein 14
GNB1L	GNB1L	Guanine nucleotide-binding protein subunit beta-like protein 1
UACA	UACA	Uveal autoantigen with coiled-coil domains and ankyrin repeats
KTBL1	KATNBL1	KATNB1-like protein 1
PININ	PNN	Pinin
SEM4A	SEMA4A	Semaphorin-4A
DSN1	DSN1	Kinetochore-associated protein DSN1 homolog
KT3K	FN3KRP	Ketosamine-3-kinase
SPCS	SEPSECS	O-phosphoseryl-tRNA(Sec) selenium transferase
GDF3	GDF3	Growth/differentiation factor 3
PICK1	PICK1	PRKCA-binding protein
SERC1	SERINC1	Serine incorporator 1
SMC4	SMC4	Structural maintenance of chromosomes protein 4
TA2R7	TAS2R7	Taste receptor type 2 member 7
BICRA	BICRA	BRD4-interacting chromatin-remodeling complex-associated protein
GCNT4	GCNT4	Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 4
NKX12	NKX1-2	NK1 transcription factor-related protein 2
NWD2	NWD2	NACHT and WD repeat domain-containing protein 2
WBP11	WBP11	WW domain-binding protein 11
RPC8	POLR3H	DNA-directed RNA polymerase III subunit RPC8
INSI2	INSIG2	Insulin-induced gene 2 protein
MPC1	MPC1	Mitochondrial pyruvate carrier 1
TRUA	PUS1	tRNA pseudouridine synthase A
SHOT1	SHTN1	Shootin-1
SMIM1	SMIM1	Small integral membrane protein 1
TEX22	TEX22	Testis-expressed protein 22
KCNK3	KCNK3	Potassium channel subfamily K member 3
OPSX	RRH	Visual pigment-like receptor peropsin
N4BP3	N4BP3	NEDD4-binding protein 3
GBG7	GNG7	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-7
NPA1P	URB1	Nucleolar pre-ribosomal-associated protein 1
CLAP2	CLASP2	CLIP-associating protein 2
CREG1	CREG1	Protein CREG1
CCNK	CCNK	Cyclin-K
SYUG	SNCG	Gamma-synuclein
DUS14	DUSP14	Dual specificity protein phosphatase 14
TACC2	TACC2	Transforming acidic coiled-coil-containing protein 2
LY66D	LY6G6D	Lymphocyte antigen 6 complex locus protein G6d
BAAS2	BAALC-AS2	Putative uncharacterized protein BAALC-AS2
PERE	EPX	Eosinophil peroxidase
ILEU	SERPINB1	Leukocyte elastase inhibitor
HXD3	HOXD3	Homeobox protein Hox-D3
INGR2	IFNGR2	Interferon gamma receptor 2
TNFL6	FASLG	Tumor necrosis factor ligand superfamily member 6
GRIA4	GRIA4	Glutamate receptor 4
TCPQ	CCT8	T-complex protein 1 subunit theta
PSMD7	PSMD7	26S proteasome non-ATPase regulatory subunit 7
RD23B	RAD23B	UV excision repair protein RAD23 homolog B
CU042	LINC00158	Putative uncharacterized protein encoded by LINC00158
DJB13	DNAJB13	DnaJ homolog subfamily B member 13
SPIB	SPIB	Transcription factor Spi-B
P	OCA2	P protein
TFF3	TFF3	Trefoil factor 3
TM115	TMEM115	Transmembrane protein 115
RTP5	RTP5	Receptor-transporting protein 5
KIF14	KIF14	Kinesin-like protein KIF14
OGR1	GPR68	Ovarian cancer G-protein coupled receptor 1
BAK	BAK1	Bcl-2 homologous antagonist/killer
NKG7	NKG7	Protein NKG7
FA83E	FAM83E	Protein FAM83E
ACOT6	ACOT6	Putative acyl-coenzyme A thioesterase 6
KR211	KRTAP21-1	Keratin-associated protein 21-1
FA98B	FAM98B	Protein FAM98B
PAR10	PARP10	Protein mono-ADP-ribosyltransferase PARP10
PAP1M	PABPC1L2B	Polyadenylate-binding protein 1-like 2
PAGE3	PAGE3	P antigen family member 3
S35F1	SLC35F1	Solute carrier family 35 member F1
OTUD3	OTUD3	OTU domain-containing protein 3
TRI68	TRIM68	E3 ubiquitin-protein ligase TRIM68
DEN5A	DENND5A	DENN domain-containing protein 5A
WDR93	WDR93	WD repeat-containing protein 93
XRRA1	XRRA1	X-ray radiation resistance-associated protein 1
MORN3	MORN3	MORN repeat-containing protein 3
GPRL1	GLIPR1L1	GLIPR1-like protein 1
ZN783	ZNF783	Protein ZNF783
TMPPE	TMPPE	Transmembrane protein with metallophosphoesterase domain
K0408	KIAA0408	Uncharacterized protein KIAA0408
NDUF7	NDUFAF7	Protein arginine methyltransferase NDUFAF7, mitochondrial
STRAA	STRADA	STE20-related kinase adapter protein alpha
MAMC2	MAMDC2	MAM domain-containing protein 2
SNX32	SNX32	Sorting nexin-32
PRIMA	PRIMA1	Proline-rich membrane anchor 1
LMTK2	LMTK2	Serine/threonine-protein kinase LMTK2
KLHL7	KLHL7	Kelch-like protein 7
KTAP2	KRTCAP2	Keratinocyte-associated protein 2
TERB1	TERB1	Telomere repeats-binding bouquet formation protein 1
PPHLN	PPHLN1	Periphilin-1
O10H4	OR10H4	Olfactory receptor 10H4
KI18A	KIF18A	Kinesin-like protein KIF18A
ATS19	ADAMTS19	A disintegrin and metalloproteinase with thrombospondin motifs 19
IASPP	PPP1R13L	RelA-associated inhibitor
CHMP7	CHMP7	Charged multivesicular body protein 7
FOG2	ZFPM2	Zinc finger protein ZFPM2
DOC10	DOCK10	Dedicator of cytokinesis protein 10
ZN274	ZNF274	Neurotrophin receptor-interacting factor homolog
COQ2	COQ2	4-hydroxybenzoate polyprenyltransferase, mitochondrial
ZN469	ZNF469	Zinc finger protein 469
PLD3A	PRELID3A	PRELI domain containing protein 3A
CC115	CCDC115	Coiled-coil domain-containing protein 115
OR2M2	OR2M2	Olfactory receptor 2M2
GCP5	TUBGCP5	Gamma-tubulin complex component 5
OVOL2	OVOL2	Transcription factor Ovo-like 2
DHRS4	DHRS4	Dehydrogenase/reductase SDR family member 4
SC11C	SEC11C	Signal peptidase complex catalytic subunit SEC11C
LRRC2	LRRC2	Leucine-rich repeat-containing protein 2
PP12C	PPP1R12C	Protein phosphatase 1 regulatory subunit 12C
F234A	FAM234A	Protein FAM234A
IPYR2	PPA2	Inorganic pyrophosphatase 2, mitochondrial
FBX44	FBXO44	F-box only protein 44
ABCB9	ABCB9	ABC-type oligopeptide transporter ABCB9
DUOX2	DUOX2	Dual oxidase 2
CALL5	CALML5	Calmodulin-like protein 5
MSRB1	MSRB1	Methionine-R-sulfoxide reductase B1
HECW2	HECW2	E3 ubiquitin-protein ligase HECW2
KLOT	KL	Klotho
SRR1L	SRRD	SRR1-like protein
SCOC	SCOC	Short coiled-coil protein
RABX5	RABGEF1	Rab5 GDP/GTP exchange factor
FZD1	FZD1	Frizzled-1
MYRF	MYRF	Myelin regulatory factor
FCF1	FCF1	rRNA-processing protein FCF1 homolog
O10H1	OR10H1	Olfactory receptor 10H1
F215A	FAM215A	Uncharacterized protein FAM215A
LV460	IGLV4-60	Immunoglobulin lambda variable 4-60
TVA36	TRAV36DV7	T cell receptor alpha variable 36/delta variable 7
A0A075B6Z3	TRAJ6	T cell receptor alpha joining 6 (Fragment)
TVBJ2	TRBV10-2	T cell receptor beta variable 10-2
MB3LB	MBD3L2B	Methyl-CpG-binding domain protein 3-like 2B
BICL2	BICDL2	BICD family-like cargo adapter 2
DCD2B	DCDC2B	Doublecortin domain-containing protein 2B
ARL5C	ARL5C	Putative ADP-ribosylation factor-like protein 5C
VGF	VGF	Neurosecretory protein VGF
TPPC3	TRAPPC3	Trafficking protein particle complex subunit 3
FADS1	FADS1	Acyl-CoA (8-3)-desaturase
MA1A2	MAN1A2	Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB
CPNE3	CPNE3	Copine-3
NPHP4	NPHP4	Nephrocystin-4
SIM24	SMIM24	Small integral membrane protein 24
MPU1	MPDU1	Mannose-P-dolichol utilization defect 1 protein
NXPH3	NXPH3	Neurexophilin-3
NDUA3	NDUFA3	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3
ZRAB2	ZRANB2	Zinc finger Ran-binding domain-containing protein 2
SNAPN	SNAPIN	SNARE-associated protein Snapin
BRI3	BRI3	Brain protein I3
CALC	CALCA	Calcitonin
CD5	CD5	T-cell surface glycoprotein CD5
ZN875	ZNF875	Zinc finger protein 875
ZN823	ZNF823	Zinc finger protein 823
BTF3	BTF3	Transcription factor BTF3
RBMS1	RBMS1	RNA-binding motif, single-stranded-interacting protein 1
HXC13	HOXC13	Homeobox protein Hox-C13
HXD11	HOXD11	Homeobox protein Hox-D11
FMO3	FMO3	Dimethylaniline monooxygenase [N-oxide-forming] 3
TPOR	MPL	Thrombopoietin receptor
PRS6B	PSMC4	26S proteasome regulatory subunit 6B
FAS	FASN	Fatty acid synthase
PRI2	PRIM2	DNA primase large subunit
AGFG1	AGFG1	Arf-GAP domain and FG repeat-containing protein 1
AFAD	AFDN	Afadin
WNT3	WNT3	Proto-oncogene Wnt-3
BPIB4	BPIFB4	BPI fold-containing family B member 4
ACTC	ACTC1	Actin, alpha cardiac muscle 1
RLF	RLF	Zinc finger protein Rlf
KCC2D	CAMK2D	Calcium/calmodulin-dependent protein kinase type II subunit delta
DX39B	DDX39B	Spliceosome RNA helicase DDX39B
CBX2	CBX2	Chromobox protein homolog 2
MF13A	MFSD13A	Transmembrane protein 180
DHC24	DHCR24	Delta(24)-sterol reductase
PUM3	PUM3	Pumilio homolog 3
INSC	INSC	Protein inscuteable homolog
KRA63	KRTAP6-3	Keratin-associated protein 6-3
Z876P	ZNF876P	Putative zinc finger protein 876
AGK	AGK	Acylglycerol kinase, mitochondrial
RNS13	RNASE13	Probable inactive ribonuclease-like protein 13
O10J3	OR10J3	Olfactory receptor 10J3
RN220	RNF220	E3 ubiquitin-protein ligase RNF220
TTC19	TTC19	Tetratricopeptide repeat protein 19, mitochondrial
T2H2L	GTF2H2C_2	General transcription factor IIH subunit 2-like protein
LYPD8	LYPD8	Ly6/PLAUR domain-containing protein 8
LRRN1	LRRN1	Leucine-rich repeat neuronal protein 1
OTOP3	OTOP3	Proton channel OTOP3
KCNKI	KCNK18	Potassium channel subfamily K member 18
RBBP6	RBBP6	E3 ubiquitin-protein ligase RBBP6
CTU1	CTU1	Cytoplasmic tRNA 2-thiolation protein 1
KHDC4	KHDC4	KH homology domain-containing protein 4
IGFN1	IGFN1	Immunoglobulin-like and fibronectin type III domain-containing protein 1
CV037	LINC00528	Putative uncharacterized protein encoded by LINC00528
GP161	GPR161	G-protein coupled receptor 161
S35G3	SLC35G3	Solute carrier family 35 member G3
TEANC	TCEANC	Transcription elongation factor A N-terminal and central domain-containing protein
COX18	COX18	Cytochrome c oxidase assembly protein COX18, mitochondrial
TM35B	TMEM35B	Transmembrane protein 35B
PJA1	PJA1	E3 ubiquitin-protein ligase Praja-1
SI11B	SMIM11B	Small integral membrane protein 11B
STAM1	STAM	Signal transducing adapter molecule 1
BIRC7	BIRC7	Baculoviral IAP repeat-containing protein 7
FXRD1	FOXRED1	FAD-dependent oxidoreductase domain-containing protein 1
SIR1	SIRT1	NAD-dependent protein deacetylase sirtuin-1
NUD11	NUDT11	Diphosphoinositol polyphosphate phosphohydrolase 3-beta
IGS21	IGSF21	Immunoglobulin superfamily member 21
COG8	COG8	Conserved oligomeric Golgi complex subunit 8
AP4AT	TEPSIN	AP-4 complex accessory subunit Tepsin
KRA41	KRTAP4-1	Keratin-associated protein 4-1
GTSFL	GTSF1L	Gametocyte-specific factor 1-like
ES8L2	EPS8L2	Epidermal growth factor receptor kinase substrate 8-like protein 2
AUNIP	AUNIP	Aurora kinase A and ninein-interacting protein
RN121	RNF121	RING finger protein 121
ENAM	ENAM	Enamelin
TRYG1	TPSG1	Tryptase gamma
NLGN3	NLGN3	Neuroligin-3
NTRI	NTM	Neurotrimin
NUFP1	NUFIP1	Nuclear fragile X mental retardation-interacting protein 1
GT2D1	GTF2IRD1	General transcription factor II-I repeat domain-containing protein 1
DKKL1	DKKL1	Dickkopf-like protein 1
YETS2	YEATS2	YEATS domain-containing protein 2
CBPC1	AGTPBP1	Cytosolic carboxypeptidase 1
KCNK6	KCNK6	Potassium channel subfamily K member 6
B3GT5	B3GALT5	Beta-1,3-galactosyltransferase 5
PDIP2	POLDIP2	Polymerase delta-interacting protein 2
DEOC	DERA	Deoxyribose-phosphate aldolase
OR2W1	OR2W1	Olfactory receptor 2W1
PCDG5	PCDHGA5	Protocadherin gamma-A5
TF3C3	GTF3C3	General transcription factor 3C polypeptide 3
A0A0A0MT85	IGKJ2	Immunoglobulin kappa joining 2 (Fragment)
TJB11	TRBJ1-1	T cell receptor beta joining 1-1
A0A1B0GTG8	LOC105372440	Uncharacterized LOC105372440
SWAHB	SOWAHB	Ankyrin repeat domain-containing protein SOWAHB
TR64B	TRIM64B	Putative tripartite motif-containing protein 64B
IGIP	IGIP	IgA-inducing protein homolog
S31C2	SPATA31C2	Putative spermatogenesis-associated protein 31C2
NACAM	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form
P23D1	PRR23D1	Proline-rich protein 23D1
NDUS4	NDUFS4	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial
TGON2	TGOLN2	Trans-Golgi network integral membrane protein 2
SNG3	SYNGR3	Synaptogyrin-3
BUB1B	BUB1B	Mitotic checkpoint serine/threonine-protein kinase BUB1 beta
PRKRA	PRKRA	Interferon-inducible double-stranded RNA-dependent protein kinase activator A
LSM8	LSM8	U6 snRNA-associated Sm-like protein LSm8
MBD3	MBD3	Methyl-CpG-binding domain protein 3
MBP	MBP	Myelin basic protein
SMR3B	SMR3B	Submaxillary gland androgen-regulated protein 3B
OPSG	OPN1MW	Medium-wave-sensitive opsin 1
PYGL	PYGL	Glycogen phosphorylase, liver form
UROM	UMOD	Uromodulin
RNAS1	RNASE1	Ribonuclease pancreatic
TPM1	TPM1	Tropomyosin alpha-1 chain
U17L8	USP17L8	Inactive ubiquitin carboxyl-terminal hydrolase 17-like protein 8
UCRIL	UQCRFS1P1	Putative cytochrome b-c1 complex subunit Rieske-like protein 1
ERCC3	ERCC3	General transcription and DNA repair factor IIH helicase subunit XPB
ITB7	ITGB7	Integrin beta-7
CD52	CD52	CAMPATH-1 antigen
SDC4	SDC4	Syndecan-4
CXCR5	CXCR5	C-X-C chemokine receptor type 5
SDC2	SDC2	Syndecan-2
HMGCL	HMGCL	Hydroxymethylglutaryl-CoA lyase, mitochondrial
TYRP2	DCT	L-dopachrome tautomerase
ECHA	HADHA	Trifunctional enzyme subunit alpha, mitochondrial
CLCN4	CLCN4	H(+)/Cl(-) exchange transporter 4
PDX1	PDX1	Pancreas/duodenum homeobox protein 1
ANM2	PRMT2	Protein arginine N-methyltransferase 2
CATW	CTSW	Cathepsin W
FAM3B	FAM3B	Protein FAM3B
PFD3	VBP1	Prefoldin subunit 3
RL36A	RPL36A	60S ribosomal protein L36a
DIAC	CTBS	Di-N-acetylchitobiase
ITIH3	ITIH3	Inter-alpha-trypsin inhibitor heavy chain H3
DMPK	DMPK	Myotonin-protein kinase
FOXL1	FOXL1	Forkhead box protein L1
DYR1A	DYRK1A	Dual specificity tyrosine-phosphorylation-regulated kinase 1A
AR6P1	ARL6IP1	ADP-ribosylation factor-like protein 6-interacting protein 1
ATX8	ATXN8	Ataxin-8
RB11B	RAB11B	Ras-related protein Rab-11B
IF2GL	EIF2S3B	Eukaryotic translation initiation factor 2 subunit 3B
LRRK1	LRRK1	Leucine-rich repeat serine/threonine-protein kinase 1
NBPF1	NBPF1	Neuroblastoma breakpoint family member 1
T11X2	TCP11X2	T-complex protein 11 X-linked protein 2
ZN766	ZNF766	Zinc finger protein 766
FTM	RPGRIP1L	Protein fantom
IF5AL	EIF5AL1	Eukaryotic translation initiation factor 5A-1-like
NPSR1	NPSR1	Neuropeptide S receptor
TMM26	TMEM26	Transmembrane protein 26
PREX2	PREX2	Phosphatidylinositol 3,4,5-trisphosphate-dependent Rac exchanger 2 protein
MYCPP	DENND4A	C-myc promoter-binding protein
IQCF1	IQCF1	IQ domain-containing protein F1
ZN366	ZNF366	Zinc finger protein 366
FA71D	FAM71D	Protein FAM71D
MNS1	MNS1	Meiosis-specific nuclear structural protein 1
D105A	DEFB105B	Beta-defensin 105
ABEC4	APOBEC4	Putative C->U-editing enzyme APOBEC-4
CYGB	CYGB	Cytoglobin
S100Z	S100Z	Protein S100-Z
ASB13	ASB13	Ankyrin repeat and SOCS box protein 13
PXDN	PXDN	Peroxidasin homolog
MCUR1	MCUR1	Mitochondrial calcium uniporter regulator 1
P5CR2	PYCR2	Pyrroline-5-carboxylate reductase 2
ZDH12	ZDHHC12	Palmitoyltransferase ZDHHC12
